Time,Channel A,Channel B,Channel C,Channel D,Channel H
(ms),(V),(V),(V),(V),(mV)

28.89487831,-1.57337300,-1.91521200,-3.13911600,-3.89757000,-12.05591000
28.90487831,-1.57337300,-1.88926900,-3.13911600,-3.95098300,-11.83616000
28.91487831,-1.54590400,-1.91521200,-3.13911600,-3.92351400,-11.17690000
28.92487831,-1.57337300,-1.88926900,-3.11317300,-3.92351400,-11.06702000
28.93487831,-1.57337300,-1.88926900,-3.16658500,-3.92351400,-11.28678000
28.94487831,-1.57337300,-1.88926900,-3.08570400,-3.89757000,-11.06702000
28.95487831,-1.57337300,-1.91521200,-3.11317300,-3.95098300,-10.85338000
28.96487831,-1.57337300,-1.88926900,-3.13911600,-3.95098300,-12.49542000
28.97487831,-1.57337300,-1.88926900,-3.11317300,-3.89757000,-12.05591000
28.98487831,-1.57337300,-1.88926900,-3.11317300,-3.92351400,-11.94604000
28.99487831,-1.57337300,-1.88926900,-3.11317300,-3.87010100,-11.94604000
29.00487831,-1.60084200,-1.88926900,-3.11317300,-3.89757000,-11.28678000
29.01487831,-1.57337300,-1.86179900,-3.11317300,-3.87010100,-11.28678000
29.02487831,-1.54590400,-1.88926900,-3.08570400,-3.87010100,-11.72628000
29.03487831,-1.57337300,-1.88926900,-3.19405400,-3.95098300,-11.83616000
29.04487831,-1.57337300,-1.88926900,-3.16658500,-3.97845200,-11.83616000
29.05487831,-1.54590400,-1.88926900,-3.16658500,-3.97845200,-11.94604000
29.06487831,-1.60084200,-1.91521200,-3.13911600,-3.92351400,-12.16579000
29.07487831,-1.57337300,-1.91521200,-3.13911600,-3.92351400,-10.96325000
29.08487831,-1.54590400,-1.91521200,-3.11317300,-3.97845200,-11.50653000
29.09487831,-1.60084200,-1.91521200,-3.19405400,-3.97845200,-11.83616000
29.10487831,-1.57337300,-1.88926900,-3.16658500,-3.92351400,-11.72628000
29.11487831,-1.57337300,-1.91521200,-3.11317300,-3.92351400,-12.16579000
29.12487831,-1.54590400,-1.88926900,-3.08570400,-3.92351400,-11.83616000
29.13487831,-1.57337300,-1.91521200,-3.16658500,-3.95098300,-11.83616000
29.14487831,-1.54590400,-1.88926900,-3.19405400,-3.97845200,-12.05591000
29.15487830,-1.60084200,-1.88926900,-3.13911600,-3.92351400,-12.49542000
29.16487830,-1.57337300,-1.88926900,-3.11317300,-3.87010100,-11.39666000
29.17487830,-1.57337300,-1.91521200,-3.13911600,-3.95098300,-12.16579000
29.18487830,-1.60084200,-1.91521200,-3.22152400,-4.00439500,-12.49542000
29.19487830,-1.57337300,-1.91521200,-3.13911600,-4.00439500,-11.72628000
29.20487830,-1.60084200,-1.94268100,-3.11317300,-3.95098300,-11.50653000
29.21487830,-1.60084200,-1.88926900,-3.16658500,-3.95098300,-11.83616000
29.22487830,-1.60084200,-1.94268100,-3.19405400,-3.95098300,-11.61641000
29.23487830,-1.57337300,-1.94268100,-3.16658500,-3.95098300,-10.85338000
29.24487830,-1.60084200,-1.91521200,-3.16658500,-3.92351400,-11.50653000
29.25487830,-1.62678600,-1.91521200,-3.13911600,-3.95098300,-11.17690000
29.26487830,-1.60084200,-1.88926900,-3.13911600,-3.95098300,-11.50653000
29.27487830,-1.60084200,-1.88926900,-3.11317300,-3.89757000,-11.17690000
29.28487830,-1.60084200,-1.91521200,-3.13911600,-3.97845200,-10.63362000
29.29487830,-1.57337300,-1.88926900,-3.16658500,-3.97845200,-11.83616000
